Job Title,Company,Location,Posted Date,Job URL,Description,Good
"Vice President, ACH Payments Product Manager",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4277639121/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=rnh3rR5ntFkN31PERdLBow%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

Acts as the representative of stakeholders to manage product backlogs and review sprints outcomes to ensure the business success of scrum software development projects. Applies extensive, in-depth knowledge, skills, and practices to perform complex assignments.





The Sr ACH Payment Product Manager within RBC Capital Markets US Cash Management team will be responsible for supporting the end to end ACH payment product development life cycle, including working with the product leadership to establish product vision, strategy and roadmap. Sr. ACH Product Manager is also responsible for defining, prioritizing and implementing ACH payment capabilities across all end to end product disciplines within RBC Clear to deliver client backed digital first solutions. The Sr. product manager will operate with the agile delivery approach and work collaboratively with squads/teams across engineering, operations, sales, legal, compliance, risk and strategic vendors deliver innovative and best in class outcome.











We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The good-faith expected salary range for the above position is $150,000-$200,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. This salary range does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Agile Product Development, Automated Clearing House (ACH) Payments, Communication, Customer Service, Customer Success, Decision Making, Digital Payments, Group Problem Solving, Leadership, Long Term Planning, Payment Handling, Payment Operations, Payment Services, Payments Industry, Teamwork, Time Management





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-07-24







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",0
"Director, US Region Corporate Security (Global Security)",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4311168668/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=B88ae4yk%2F1wb9N1axOi0%2Bw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity? 

Physical safety and security are essential to the protection of RBC employees, clients, assets, operations and facilities from a wide range of threats, and it is necessary to minimize the negative business impact and interruption of these threats in order for RBC to achieve its business objectives. The Director, US Region Corporate Security is responsible for providing vision and strategic direction and is accountable for the strategy development and operations of the physical security and protection program in the US and Caribbean Regions. The Director is responsible for the US and Caribbean Region strategic plan and execution of the physical security and protection strategy.































We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $160,000-$250,000, depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC's discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC's compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Event Security, Event Security Management, Executive Protection, Executive Relationships, Executive Security, Physical Security, Security System, Team Administration, Team Management, Vendor Management





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



TECHNOLOGY AND OPERATIONS



Regular



Salaried



2025-10-06



2025-11-14





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",0
"Vice President, Global Investment Banking, Power, Utilities & Infrastructure",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4332098881/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=0xrGeiuqWcdYT32hA6DHLg%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

Vice Presidents in RBC’s Power, Utilities & Infrastructure (“PU&I”) group play a critical role in the successful origination and execution of transactions for our clients. Vice Presidents work across all industries within the sector, including but not limited to:






We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging, and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-06-05







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",0
"Internal Audit Director, Model Risk Management",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4308618200/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=E88S7JlzGU3v4j%2BwAGUiVw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity?

As Director, Model Risk Audit Center of Excellence (CoE), you will be accountable for assessing the design and execution effectiveness of the business processes and related controls throughout the model lifecycle for all US models. You will lead a large team of experienced model risk audit professionals and oversee all model risk audit projects for our US portfolio. As Audit lead for US Model Risk within Internal Audit, Model Risk CoE, you will work closely with audit partners within Chief Audit Executive Group (CAE) and business partners within the 1st and 2nd lines of defense.

















We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $160,000-$250,000 depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Audit Engagements, Auditing, Audits Compliance, Detail-Oriented, Internal Controls, Interpersonal Relationship Management, Long Term Planning, Multi-Level Communication, Organizational Savvy and Politics, People Management, Professional Education, Regulatory Compliance, Results-Oriented, Risk Governance, Risk Management





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



INTERNAL AUDIT



Regular



Salaried



2025-08-12



2025-10-31





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",0
"Vice President, Investment Banking",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4277633974/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=0kvbufkt7uZgGqUVByb7wA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

Job Description

RBC Capital Markets seeks a Vice President, Investment Banking in New York, NY to

develop detailed financial models (including restructuring, financing, and Mergers & Acquisitions (M&A) models). Complete asset level due diligence on buyer/seller portfolio. Participate and/or conduct due diligence sessions with companies. Work with Analysts to develop financial models and pitch book materials, conduct company research, and analyze data to help advise current or prospective corporate clients on actual or prospective M&A transactions and corporate finance offerings. Execute capital markets transactions, including review of legal documents, completing Know Your Client, performing company-level due diligence, and preparing committee memos. Requirements: Bachelor's degree in Finance, Economics, or a closely related field, and 5 years of progressively responsible experience in the job offered or related experience in investment banking. Alternatively, employer will accept a Master's degree in Finance, Economics, or a closely related field, and 5 years of experience in the job offered or related experience in investment banking. Experience must include: Capital markets; spreadsheet modeling utilizing Microsoft Excel, including analysis at various prices, discounted cash flow analysis, ability to pay analysis, accretion/dilution, and leveraged buyout analysis; managing all aspects of transaction processes, including preparation of pitches, financial analyses, valuations, and marketing materials as well as conducting due diligence, managing day-to-day communication with client and counter-party; presenting analyses and deliverables in both internal and external meetings; transactional experience in both buy-side and sell-side mandates with public companies as well as fairness opinion assignments. Must also possess 1 year of experience mentoring and staffing junior members of a team.

The wage for this job is $275,000. This salary does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:









BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



Capital Markets



Regular



Salaried



2024-04-25





At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.

We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",0
"Vice President, Investment Grade Credit Desk Strategist - US Corporates",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4280442573/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=sc0iXqVLDRH6fOVVA7VMJw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

Job Description

Investment Grade Credit Desk Strategist - US Corporates



Responsible for credit sector analysis of US Financials Corporates. Primary objectives are to ensure timely and relevant intelligence is provided to the sales and trading team and to our clients.











We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $225,000, depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-08-05







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",0
"Director, Control Testing and Assurance (Global Security)",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4277631998/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=BaSg90d4MBol3ev84mOyLQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity?

Global IT Risk (GITR) is part of RBC’s Technology and Operations division. It enables the protection of RBC's brand, systems, and operations by equipping technology partners with meaningful actions, insights, actionable advice, and information on RBC IT & Cyber risks. Join our dynamic team as a “Director, Control Testing and Assurance”, where you will play a pivotal role in advancing our organization's technology, risk, security, and operations landscape.

You will lead and execute risk-based control testing activities, independently evaluating the design, implementation, and operating effectiveness of these controls within first line of defense (1LOD). Your expertise will be critical in driving change and overall improvement across the organization’s approach to IT and Cyber risk. This is an advanced senior position, offering opportunities to work across the organization, functions, and make a significant impact.

















We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.











Critical Thinking, Cyber Security Management, Decision Making, Detail-Oriented, Information Security Management, Information Technology Security, Interpersonal Relationship Management, IT Security Architecture, Performance Management (PM)





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



TECHNOLOGY AND OPERATIONS



Regular



Salaried



2025-06-24



2025-10-31





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",0
"MD, Cross Business Controls & Enablement",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4332802801/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=2DKIBO2rRCIahbwz%2BuSnYQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the Opportunity?

This position is responsible for leading 1LOD Cross Business Controls & Enablement for Consolidated US Operations (CUSO) and global Capital Markets (CM) – the ‘market in scope’. The primary purpose of the role includes designing, managing and transforming Business Controls activities across the in-scope market identified above, while aligning with RBC US and Capital Markets Strategic Plans and with the Enterprise Controls Operating Model. This position will play a leadership role in transforming the Business Controls model to an integrated, proactive, and efficient foundation for scalable growth. In doing so, this position will work in lock-step with key stakeholders across businesses, functions, regions and the Enterprise.

The incumbent will need to have expertise in areas of1LOD business controls and risk management, coupled with a strong understanding of businesses/products in scope and expectations of regulators in the market in scope. This role has a high degree of interconnectedness across businesses (global Capital Markets, City National Bank, RBC Bank (Georgia), US Wealth Management), regions (US, CA, EU, Asia), and stakeholder groups (businesses, regional management, enterprise controls, 2LOD, 3LOD, regulatory relations, prudential and securities regulators).

In addition, this role is tightly integrated into the CUSO/CM Chief Controls Office team, which has accountability for ensuring that our control environment is fit for purpose and operating effectively across the 1st line for CUSO and global CM.Whereas the primary purpose of this role is described above, the primary purpose of the other leaders on the team includes centers of expertise focused on business products/services, integrating operational risk across businesses, controls for the operations functions, exam and audit management, implementing regulatory change, and embedding the Cross Business Controls & Enablement work into business-as-usual processes.



Design, develop and manage and transform 1LODBusiness Controls across CUSO and Global CM, by 1) understanding how controls in areas across these businesses and functions are designed and operate to meet operational and regulatory requirements material to the businesses in scope, and 2) designing, implementing and managing end-to-end processes to ensure controls managing risks that reach across businesses in scope are fit for purpose and operating effectively.

Design, develop the Cross Business Controls & Enablement capability:



Advisory Support:



Leadership:



As a member of the Committees and Forums, the leader will contribute to the maintenance of an effective control and regulatory integration program, focusing on:









We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $200,000 -$320,000 , depending on your experience, skills, and registration status, market conditions and business needs. You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-10-28







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at",1
"Senior Director, Head of US IT Risk Governance and Oversight (Global Security)",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4331176435/?eBP=NON_CHARGEABLE_CHANNEL&refId=jmkQToCxtQZUABH2FwNyLg%3D%3D&trackingId=gJduUKSfl%2FWlPhCww5GJhg%3D%3D&trk=flagship3_search_srp_jobs,,0
"Vice President, Fixed Income Analytics",TCW,"Los Angeles, CA",N/A,https://www.linkedin.com/jobs/view/4243081512/?eBP=NON_CHARGEABLE_CHANNEL&refId=tALo0wnCP%2BDYB7CCb6I8Nw%3D%3D&trackingId=qc8s8%2BAJAXmxmujdP4M8Eg%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Position Summary

The Investment Risk and Quantitative Research team is seeking a Vice President to join the team. The position will be responsible for ongoing support for fixed income analytics generation, model control, and general risk analysis. In this role, the individual will help oversee fixed income models and methodologies used throughout TCW’s funds and support mechanism to ensure their quality and timely production. In addition, the role will support frequent ad hoc user inquiries on portfolio, benchmark, and security and portfolio analytics. The ability to navigate through large amounts of data from multiple databases using standard database query tools and modern programming techniques is essential, as is the effective and succinct articulation of findings, insights, and implications.

The role offers a great opportunity to work closely with the risk management team and members across the fixed income front office portfolio management teams and trading desks. The incumbent will have the exposure to all fixed income product areas and the investment lifecycle. The incumbent will also interact with the client reporting and marketing teams. Excellent communication skills, attention to details, and effective people skills are essential.

















This role requires candidates to work from a TCW office a minimum of four days a week. Flexibility for remote work is offered on one day, depending on business needs.



For CA based position, the base salary range is $165k – $185k This is an anticipated range only.

: Eligible to be considered for an annual discretionary bonus

: Eligible for TCW’s comprehensive benefits package. See more information here .",0
