Job Title,Company,Location,Posted Date,Job URL,Description
Director - US Internal Audit- Capital Markets,Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4323969199/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=P0DJGoHaH4sH5jFnaNmPew%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the Opportunity?

RBC's US Internal Audit group is hiring for a Director, Capital Markets.











We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The good-faith expected salary range for the above position is $160,000 - $250,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. This salary range does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Auditing, Detail-Oriented, Internal Controls, Interpersonal Relationship Management, Long Term Planning, Multi-Level Communication, Organizational Savvy and Politics, Results-Oriented





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



INTERNAL AUDIT



Regular



Salaried



2025-10-23



2025-12-15





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Real Estate Work Out/Asset Risk Manager",Royal Bank of Canada,N/A,N/A,https://www.linkedin.com/jobs/view/4335176349/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=8IthCE83SOfCWRBDWlhVsQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

Real Estate Work Out/Special Assets Manager – Chicago, IL

What is the opportunity?

RBC Capital Markets – RBC Community Investments (www.rbccm.com/communityinvestments), part of the Royal Bank of Canada (RBC) firm, is a leading national syndicator of State and Federal Low Income Housing Tax Credits (LIHTCs), Historic Rehabilitation Tax Credits (HRTCs), New Markets Tax Credits (NMTCs) and Workforce Housing Investments. The Asset Risk Manager is responsible for maintaining a collection of real estate assets invested through the Section 42 (LIHTC) affordable housing tax credit program and/or the programs listed above to ensure the continuous delivery of tax credit benefits and passive losses.



















We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $110,000 - $130,000, depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





111 SOUTH WACKER DRIVE, SUITE 3200:CHICAGO



Chicago



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-11-10







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
Director - Head of Mutual Fund and Alternative Investment Operations,Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4306817458/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=%2BRgvAHGEG5hvg1gaks7TcQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity?

Director, Mutual Fund and Alternative Investment Operations is responsible the leadership of a diversified group that is responsible for all production and change-related aspects of all Mutual Fund and Alternative Investment products offered by RBC USWM. In addition to managing existing people and processes, this high-profile role will partner with the USWM business to execute a multi-fold expansion of the Alternative Investment product line which is a cornerstone of a broader strategic plan to recruit and support the addition UHNW advisors and their clients. The role will offer extensive exposure to the senior-most ranks of RBC Operations, RBC Technology, and the RBC USWM executive leadership team.















The good-faith expected salary range for the above position is $180,000 - $250,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. This salary range does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan. RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Business Performance Management, Customer Service, Decision Making, Interpersonal Relationship Management, Operational Delivery, Process Improvements, Time Management





1211 6TH AVENUE:NEW YORK



New York



United States of America



40



Full time



WEALTH MANAGEMENT



Regular



Salaried



2025-06-24



2025-12-19





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Director, Head of Liquidity Solutions for RBC Clear",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4315627748/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=Cj429DqyaslXitz1VFV9gQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the Opportunity?

Director, Head of Liquidity Solutions. The role will lead product strategy, design, and development to build out the Liquidity product suite to meet the needs of our global client base in the Cash Management business. This role will work closely with key stakeholders and partners to build alignment of Liquidity product and client strategy, then develop product designs and roadmaps to execute on the strategy. This role will collaborate with Technology partners to ensure successful build of system capabilities, and work with Sales partners to roll out the product capability to clients. This role will also work closely with Treasury and Finance stakeholders to manage product profitability metrics such as FTP and ensure meeting the bank’s balance sheet and profitability goals for RBC Clear.



Your main responsibilities will include:





To be successful in this role, you will need:

















The good-faith expected salary range for the above position is $225,000- $250,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. This salary range does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.



Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-10-15







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Investment Grade Credit Desk Strategist - US Corporates",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4280442573/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=6Li9vmLKXLM%2F0TiXO%2ByVJg%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

Job Description

Investment Grade Credit Desk Strategist - US Corporates



Responsible for credit sector analysis of US Financials Corporates. Primary objectives are to ensure timely and relevant intelligence is provided to the sales and trading team and to our clients.











We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The expected salary range for this particular position is $225,000, depending on your experience, skills, and registration status, market conditions and business needs.

You have the potential to earn more through RBC’s discretionary variable compensation program which gives you an opportunity to increase your total compensation, provided the business meets its performance targets and you meet your individual goals.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-08-05



2026-02-07





At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President/Director, Corporate Banking - Power, Utilities & Infrastructure",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4306253674/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=ShM6zgxrgtHMHDjLzRFbiQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

We are seeking a highly skilled and motivated Vice President or Director to join our Corporate Banking team, specializing in the Power, Utilities, and Infrastructure (PU&I) sectors in the U.S. This role will focus on client coverage, structuring and executing bank debt transactions, and managing a portfolio of clients in the PU&I industry group.



As the Vice President or Director, you will:























To succeed in this role, you will need:





We are committed to fostering a dynamic, collaborative, and high-performing work environment where you can thrive and make a lasting impact. By joining our team, you will benefit from:





The expected salary range for this position is $225,000 - $300,000, based on factors such as experience, skills, registration status, market conditions, and business needs. This salary range does not include other elements of total compensation, such as:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-05-27







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Global Investment Banking, Global Private Capital Group",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4285963830/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=s%2Biz%2Be6mnDGzd%2FW1kDYQ1w%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity?

To join the Global Private Capital Group as a Vice President.





We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging, and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-08-14







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, ACH Payments Product Manager",Royal Bank of Canada,"Jersey City, NJ",N/A,https://www.linkedin.com/jobs/view/4277639121/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=2GlbG5v%2B48b5T5hw6mx0Qw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

Acts as the representative of stakeholders to manage product backlogs and review sprints outcomes to ensure the business success of scrum software development projects. Applies extensive, in-depth knowledge, skills, and practices to perform complex assignments.





The Sr ACH Payment Product Manager within RBC Capital Markets US Cash Management team will be responsible for supporting the end to end ACH payment product development life cycle, including working with the product leadership to establish product vision, strategy and roadmap. Sr. ACH Product Manager is also responsible for defining, prioritizing and implementing ACH payment capabilities across all end to end product disciplines within RBC Clear to deliver client backed digital first solutions. The Sr. product manager will operate with the agile delivery approach and work collaboratively with squads/teams across engineering, operations, sales, legal, compliance, risk and strategic vendors deliver innovative and best in class outcome.











We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



The good-faith expected salary range for the above position is $150,000-$200,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. This salary range does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:





Agile Product Development, Automated Clearing House (ACH) Payments, Communication, Customer Service, Customer Success, Decision Making, Digital Payments, Group Problem Solving, Leadership, Long Term Planning, Payment Handling, Payment Operations, Payment Services, Payments Industry, Teamwork, Time Management





GOLDMAN SACHS TOWER, 30 HUDSON STREET:JERSEY CITY



Jersey City



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-07-24







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Global Investment Banking, Communications, Media, and Entertainment",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4279685124/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=rMB3T2wciLOXm53g9H%2Bpew%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

What is the opportunity?

To join the Communications, Media & Entertainment Group as a Vice President.





We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.



RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging, and retaining talent that:





Adaptability, Critical Thinking, Customer Service, Detail-Oriented, Financial Engineering, Financial Statement Analysis, Investments Analysis, Personal Development, Personal Initiative, Teamwork





BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



CAPITAL MARKETS



Regular



Salaried



2025-08-04







At RBC, we believe an inclusive workplace that has diverse perspectives is core to our continued growth as one of the largest and most successful banks in the world. Maintaining a workplace where our employees feel supported to perform at their best, effectively collaborate, drive innovation, and grow professionally helps to bring our Purpose to life and create value for our clients and communities. RBC strives to deliver this through policies and programs intended to foster a workplace based on respect, belonging and opportunity for all.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
"Vice President, Investment Banking",Royal Bank of Canada,"New York, NY",N/A,https://www.linkedin.com/jobs/view/4277633974/?eBP=NON_CHARGEABLE_CHANNEL&refId=MIy2pmESLKQSEFQ9Lm5Jvw%3D%3D&trackingId=UAXpqiBy2l8IW13Md0Zdrw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Summary

Job Description

RBC Capital Markets seeks a Vice President, Investment Banking in New York, NY to

develop detailed financial models (including restructuring, financing, and Mergers & Acquisitions (M&A) models). Complete asset level due diligence on buyer/seller portfolio. Participate and/or conduct due diligence sessions with companies. Work with Analysts to develop financial models and pitch book materials, conduct company research, and analyze data to help advise current or prospective corporate clients on actual or prospective M&A transactions and corporate finance offerings. Execute capital markets transactions, including review of legal documents, completing Know Your Client, performing company-level due diligence, and preparing committee memos. Requirements: Bachelor's degree in Finance, Economics, or a closely related field, and 5 years of progressively responsible experience in the job offered or related experience in investment banking. Alternatively, employer will accept a Master's degree in Finance, Economics, or a closely related field, and 5 years of experience in the job offered or related experience in investment banking. Experience must include: Capital markets; spreadsheet modeling utilizing Microsoft Excel, including analysis at various prices, discounted cash flow analysis, ability to pay analysis, accretion/dilution, and leveraged buyout analysis; managing all aspects of transaction processes, including preparation of pitches, financial analyses, valuations, and marketing materials as well as conducting due diligence, managing day-to-day communication with client and counter-party; presenting analyses and deliverables in both internal and external meetings; transactional experience in both buy-side and sell-side mandates with public companies as well as fairness opinion assignments. Must also possess 1 year of experience mentoring and staffing junior members of a team.

The wage for this job is $275,000. This salary does not include other elements of total compensation, including a discretionary bonus and benefits such as a 401(k) program with company-matching contributions; health, dental, vision, life and disability insurance; and paid time-off plan.

RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:









BROOKFIELD PLACE FKA 3 WORLD FINANCIAL CENTER, 200 VESEY STREET:NEW YORK



New York



United States of America



40



Full time



Capital Markets



Regular



Salaried



2024-04-25





At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.

We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.



Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at"
